Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
5,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,1,"(1800, 3600)",0.409217102,0.590782898,1083.821648,108.6422272
5,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,2,"(3600, 5400)",0.218212104,0.783453637,1167.305704,117.0106646
5,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,3,"(5400, 7200)",0.392559689,0.608550805,1067.484467,107.0045889
5,1,LD1_04_05_10_11_2023-03-01 11-49-34.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,4,"(7200, 9000)",0.32,0.68,818.379293,82.03429891
8,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",light,FALSE,0,"(0, 1800)",0.693503609,0.309272626,2324.655045,233.023304
8,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",light,FALSE,1,"(1800, 3600)",0.412548584,0.591338145,1568.640666,157.2404609
8,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",light,FALSE,2,"(3600, 5400)",0.334258745,0.670183232,1360.710249,136.3975265
8,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",light,FALSE,3,"(5400, 7200)",0.541921155,0.459744586,1455.37863,145.8870802
8,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",light,FALSE,4,"(7200, 9000)",0.293888889,0.708333333,1155.67739,115.8450431
16,1,LD1_12_16_17_18_2023-03-01 12-03-20.mkv,99,TRUE,0.5,50,1800,"{'xs': [[1.6093750000000004, 101.08305921052633, 101.08305921052633, 1.6093750000000004, 1.6093750000000004], [1.6093750000000004, 101.08305921052633, 100.2935855263158, 0.8199013157894741]], 'ys': [[1.8276601830663686, 1.331092677345545, 106.6034038901602, 107.09997139588101, 107.09997139588101], [107.09997139588101, 106.6034038901602, 214.85512013729976, 214.85512013729976]]}",dark,FALSE,0,"(0, 1800)",0.439755691,0.561354803,1381.431777,138.4746514
