"annotation_abrv","annotation_names","parcellation_group","graph_order","ControlVnoTrauma_z","ControlVnoTrauma_p","ControlVTrauma_z","ControlVTrauma_p","TraumaVnoTrauma_t","TraumaVnoTrauma_p","Model_p","Model_padj","Model_fdr","NTvsT_padj","NTvsT_fdr"
"AUDv4","Ventral auditory area, layer 4","cortical_plate","153",3.44399875352758,0.000573178344675106,2.92573007551388,0.00343648962467749,-0.550856662313113,0.581731937896554,0.00837808371143378,0.0437170564783101,TRUE,0.723311160586881,FALSE
"AUDd1","Dorsal auditory area, layer 1","cortical_plate","123",3.7014904827005,0.000214336697286042,0.990837002397457,0.321765177904495,-2.87976505807073,0.00397971614149806,0.00161001377813941,0.0159551780068042,TRUE,0.037680197753019,TRUE
"SSp-bfd6b","Primary somatosensory area, barrel field, layer 6b","cortical_plate","57",-1.35719179614583,0.174720276773956,-0.775402671702399,0.438101756906201,0.616848141908689,0.537334894592212,0.405141145403845,0.535449700943093,FALSE,NA,NA
"CS","Superior central nucleus raphe","hindbrain","908",0.652276251887092,0.514222977183034,1.58441961430138,0.113098261297857,0.989731584040509,0.322305332994234,0.288270249688965,0.425810957056903,FALSE,NA,NA
"AId6a","Agranular insular area, dorsal part, layer 6a","cortical_plate","283",3.49102721266564,0.000481167241667784,2.68151293678424,0.00732900806031155,-0.860582676288883,0.389467930548567,0.00715090284238196,0.0409140263893246,TRUE,0.556382757926525,FALSE
"SOCm","Superior olivary complex, medial part","hindbrain","888",0.476204313824569,0.633928826518664,-0.291613227736459,0.7705823605561,-0.814196343989742,0.415532479572287,0.714832646070265,0.807760890059399,FALSE,NA,NA
"VISpl1","Posterolateral visual area, layer 1","cortical_plate","193",1.42138452417157,0.155205003035797,0.549886683209532,0.582397098592501,-0.930049803698615,0.352345298670244,0.360317865325375,0.493526288263847,FALSE,NA,NA
"AUDpo6b","Posterior auditory area, layer 6b","cortical_plate","149",-1.84183362197556,0.0654994903924146,-0.29063828915592,0.771327973021752,1.63456440580568,0.102140394426675,0.151220213540952,0.268914674498863,FALSE,NA,NA
"SubG","Subgeniculate nucleus","diencephalon","710",0.232599311204431,0.816072562223228,0.575304485805469,0.565085388253828,0.365760521696492,0.714543780729471,0.842088970760661,0.895586387726633,FALSE,NA,NA
"ND","Nucleus of Darkschewitsch","midbrain","835",0.0747262471445265,0.940432523852226,2.16172043133732,0.0306397318170005,2.2429284020931,0.0249014318973804,0.0448695834935013,0.122175010476281,FALSE,NA,NA
"GU6b","Gustatory areas, layer 6b","cortical_plate","113",1.93293592614698,0.05324409148127,1.76227346368799,0.0780231051141192,-0.184811458596122,0.853376920021472,0.144188132382447,0.258623158082802,FALSE,NA,NA
"FRP2/3","Frontal pole, layer 2/3","cortical_plate","8",4.21685584544352,2.47732228088286e-05,1.13553578023706,0.2561508990877,-3.34107685565153,0.000834541182790582,0.000451077543505596,0.00755137220979738,TRUE,0.0250362354837175,TRUE
"LAV","Lateral vestibular nucleus","hindbrain","985",-0.592140113595719,0.553756767398784,-0.0173688701770567,0.986142343408189,0.60877651479339,0.54267258240015,0.788094834995274,0.851856050726129,FALSE,NA,NA
