annotation_labels,annotation_names,annotation_abrv,annotation_graph_order,volumes,parcellation_group
602,"Bed nuclei of the stria terminalis, posterior division, strial extension",BSTse,637,,cerebral_nuclei
594,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",BSTtr,636,,cerebral_nuclei
1065,Hindbrain,HB,866,,hindbrain
1129,Interbrain,IB,640,,diencephalon
313,Midbrain,MB,802,353356,midbrain
544,"Central amygdalar nucleus, capsular part",CEAc,596,,cerebral_nuclei
551,"Central amygdalar nucleus, lateral part",CEAl,597,,cerebral_nuclei
559,"Central amygdalar nucleus, medial part",CEAm,598,,cerebral_nuclei
976,Lobule II,CENT2,1005,,cerebellum
984,Lobule III,CENT3,1009,,cerebellum
1143,"Cerebellar cortex, granular layer",CBXgr,1078,,cerebellum
1144,"Cerebellar cortex, molecular layer",CBXmo,1076,,cerebellum
1145,"Cerebellar cortex, Purkinje layer",CBXpu,1077,,cerebellum
1073,Hemispheric regions,HEM,1046,,cerebellum
645,Vermal regions,VERM,999,,cerebellum
589508455,Vestibulocerebellar nucleus,VeCB,1083,,cerebellum
528,Cerebellar cortex,CBX,998,,cerebellum
519,Cerebellar nuclei,CBN,1079,,cerebellum
695,Cortical plate,CTXpl,4,,cortical_plate
703,Cortical subplate,CTXsp,555,105638,cortical_subplate
803,Pallidum,PAL,608,111434,cerebral_nuclei
477,Striatum,STR,571,175862,cerebral_nuclei
688,Cerebral cortex,CTX,3,,
623,Cerebral nuclei,CNU,570,,cerebral_nuclei
560,"Cochlear nucleus, subpedunclular granular region",CNspg,923,,hindbrain
112,Granular lamina of the cochlear nuclei,CNlam,922,,hindbrain
10684,"Copula pyramidis, granular layer",COPYgr,1067,,cerebellum
10686,"Copula pyramidis, molecular layer",COPYmo,1065,,cerebellum
10685,"Copula pyramidis, Purkinje layer",COPYpu,1066,,cerebellum
192,"Cortical amygdalar area, anterior part, layer 1",COAa1,428,,cortical_plate
200,"Cortical amygdalar area, anterior part, layer 2",COAa2,429,,cortical_plate
208,"Cortical amygdalar area, anterior part, layer 3",COAa3,430,,cortical_plate
655,"Cortical amygdalar area, posterior part, lateral zone",COApl,432,,cortical_plate
663,"Cortical amygdalar area, posterior part, medial zone",COApm,438,,cortical_plate
216,"Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1,435,,cortical_plate
224,"Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2,436,,cortical_plate
232,"Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3,437,,cortical_plate
584,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2",COApl1-2,433,,cortical_plate
376,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",COApl1-3,434,,cortical_plate
240,"Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1,441,,cortical_plate
248,"Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2,442,,cortical_plate
256,"Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3,443,,cortical_plate
592,"Cortical amygdalar area, posterior part, medial zone, layers 1-2",COApm1-2,439,,cortical_plate
383,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",COApm1-3,440,,cortical_plate
1089,Hippocampal formation,HPF,454,171733,cortical_plate
315,Isocortex,Isocortex,5,6,cortical_plate
698,Olfactory areas,OLF,379,275171,cortical_plate
295,Basolateral amygdalar nucleus,BLA,562,,cortical_subplate
