"annotation_abrv","annotation_names","group","mean","sem","sd","var"
"DG-mo","Dentate gyrus, molecular layer","No Trauma",1463.1,218.711908429534,691.627782039508,478348.988888889
"DG-mo","Dentate gyrus, molecular layer","Trauma",1113.5,183.673033767435,580.825131458112,337357.833333333
"DG-po","Dentate gyrus, polymorph layer","Control",908.625,105.566150131429,298.586162486763,89153.6964285714
"DG-po","Dentate gyrus, polymorph layer","No Trauma",1070.3,70.0263521825891,221.442769130085,49036.9
"DG-po","Dentate gyrus, polymorph layer","Trauma",1004.1,113.850921042485,360.028224202245,129620.322222222
"AUDd1","Dorsal auditory area, layer 1","Control",74,17.6998789342107,50.0628176822451,2506.28571428571
"AUDd1","Dorsal auditory area, layer 1","No Trauma",234,51.2683571459477,162.124780476164,26284.4444444444
"AUDd1","Dorsal auditory area, layer 1","Trauma",100.8,26.7510332095375,84.5941947049428,7156.17777777778
"AUDd2/3","Dorsal auditory area, layer 2/3","Control",502.625,84.5179476924449,239.052855781191,57146.2678571429
"AUDd2/3","Dorsal auditory area, layer 2/3","No Trauma",2083.4,581.033814277046,1837.39025069073,3376002.93333333
"AUDd2/3","Dorsal auditory area, layer 2/3","Trauma",1252.7,202.125706210544,639.17760529536,408548.011111111
"AUDd4","Dorsal auditory area, layer 4","Control",84.375,15.7954983415258,44.6764159580549,1995.98214285714
"AUDd4","Dorsal auditory area, layer 4","No Trauma",557.8,256.659991255184,811.63015660528,658743.511111111
"AUDd4","Dorsal auditory area, layer 4","Trauma",395,127.149693056824,402.08263385086,161670.444444444
"AUDd5","Dorsal auditory area, layer 5","Control",453.75,76.4051115530144,216.106289985804,46701.9285714286
"AUDd5","Dorsal auditory area, layer 5","No Trauma",1203.3,432.514201436721,1367.72999690891,1870685.34444444
"AUDd5","Dorsal auditory area, layer 5","Trauma",774.2,170.19941245492,538.217799779978,289678.4
"AUDd6a","Dorsal auditory area, layer 6a","Control",435,64.4955701690323,182.421020092062,33277.4285714286
"AUDd6a","Dorsal auditory area, layer 6a","No Trauma",645.1,140.240622582126,443.479787839561,196674.322222222
"AUDd6a","Dorsal auditory area, layer 6a","Trauma",537.8,91.4042060787625,289.045478928298,83547.2888888889
"AUDd6b","Dorsal auditory area, layer 6b","Control",72.125,11.9708537408873,33.8586874270949,1146.41071428571
"AUDd6b","Dorsal auditory area, layer 6b","No Trauma",60.6,9.46596241511894,29.9340014773242,896.044444444444
"AUDd6b","Dorsal auditory area, layer 6b","Trauma",92.3,15.8121261484132,50.0023332788914,2500.23333333333
"CU","Cuneate nucleus","Control",9.25,3.12106895607441,8.82771609356415,77.9285714285714
"CU","Cuneate nucleus","No Trauma",8.9,2.77067982030885,8.76165889924201,76.7666666666667
"CU","Cuneate nucleus","Trauma",14.6,5.62770922410807,17.7963791573205,316.711111111111
"GR","Gracile nucleus","Control",3,1,2.82842712474619,8
"GR","Gracile nucleus","No Trauma",3.7,1.1551815634109,3.65300485141266,13.3444444444444
"GR","Gracile nucleus","Trauma",3.8,1.7625738755203,5.57374799095426,31.0666666666667
"ECT1","Ectorhinal area/Layer 1","Control",47.125,5.13891838258375,14.5350561451567,211.267857142857
"ECT1","Ectorhinal area/Layer 1","No Trauma",215.2,37.7688290054702,119.435524214718,14264.8444444444
"ECT1","Ectorhinal area/Layer 1","Trauma",168.2,13.2730302995711,41.9730071990718,1761.73333333333
"ECT2/3","Ectorhinal area/Layer 2/3","Control",206.375,22.0947129260761,62.4932853535939,3905.41071428571
"ECT2/3","Ectorhinal area/Layer 2/3","No Trauma",673.2,105.181620701211,332.613489403742,110631.733333333
"ECT2/3","Ectorhinal area/Layer 2/3","Trauma",574.7,71.6710153719371,226.643650792261,51367.3444444444
"ECT5","Ectorhinal area/Layer 5","Control",635.75,61.557972095996,174.112238020684,30315.0714285714
"ECT5","Ectorhinal area/Layer 5","No Trauma",1005.7,135.867832019863,429.651809931924,184600.677777778
"ECT5","Ectorhinal area/Layer 5","Trauma",900.2,97.7145275222108,309.000467457395,95481.2888888889
"ECT6a","Ectorhinal area/Layer 6a","Control",283.625,30.69721805683,86.8248442061866,7538.55357142857
"ECT6a","Ectorhinal area/Layer 6a","No Trauma",512.5,83.9175852316492,265.37070507332,70421.6111111111
"ECT6a","Ectorhinal area/Layer 6a","Trauma",503.7,57.5905181238872,182.117208900691,33166.6777777778
"ECT6b","Ectorhinal area/Layer 6b","Control",63.875,8.41223067919562,23.793381432659,566.125
"ECT6b","Ectorhinal area/Layer 6b","No Trauma",90.8,16.2308348522188,51.3264064590538,2634.4
"ECT6b","Ectorhinal area/Layer 6b","Trauma",106.6,16.9484184775126,53.5956051266229,2872.48888888889
"EPd","Endopiriform nucleus, dorsal part","Control",1154.625,96.3590639038621,272.544590060835,74280.5535714286
"EPd","Endopiriform nucleus, dorsal part","No Trauma",1720.8,162.850633676657,514.978920819958,265203.288888889
"EPd","Endopiriform nucleus, dorsal part","Trauma",1825.2,155.959025958031,493.185743688702,243232.177777778
"EPv","Endopiriform nucleus, ventral part","Control",279.5,33.9048037051642,95.8972664588815,9196.28571428571
"EPv","Endopiriform nucleus, ventral part","No Trauma",401.7,40.0208417924683,126.557013941456,16016.6777777778
"EPv","Endopiriform nucleus, ventral part","Trauma",443.8,51.5859153904112,163.128987818434,26611.0666666667
"ENTl","Entorhinal area, lateral part","Control",2461.375,441.178451807526,1247.84109994594,1557107.41071429
"ENTl","Entorhinal area, lateral part","No Trauma",4129.4,621.447632548391,1965.1899653723,3861971.6
"ENTl","Entorhinal area, lateral part","Trauma",4433,769.392155463577,2433.03162513127,5919642.88888889
"ENTm","Entorhinal area, medial part, dorsal zone","Control",1128.625,194.122286339234,549.060740199635,301467.696428571
"ENTm","Entorhinal area, medial part, dorsal zone","No Trauma",1460.1,189.212957625352,598.343908913038,358015.433333333
"ENTm","Entorhinal area, medial part, dorsal zone","Trauma",1533.9,298.283103778943,943.253995485839,889728.1
"ENTmv","Entorhinal area, medial part, ventral zone","Control",40.5,10.5492044385211,29.8376559784061,890.285714285714
"ENTmv","Entorhinal area, medial part, ventral zone","No Trauma",114.4,27.8472819339897,88.0608375562662,7754.71111111111
"ENTmv","Entorhinal area, medial part, ventral zone","Trauma",200.2,44.395395156605,140.39056631808,19709.5111111111
"FRP1","Frontal pole, layer 1","Control",23,4.35889894354067,12.328828005938,152
"FRP1","Frontal pole, layer 1","No Trauma",95.6,40.218348493636,127.181584970292,16175.1555555556
"FRP1","Frontal pole, layer 1","Trauma",41.4,13.5771049114963,42.9345755513872,1843.37777777778
"FRP2/3","Frontal pole, layer 2/3","Control",3.375,1.33547075702059,3.77728171346236,14.2678571428571
"FRP2/3","Frontal pole, layer 2/3","No Trauma",43.6,22.8084779559414,72.1267403025166,5202.26666666667
"FRP2/3","Frontal pole, layer 2/3","Trauma",6.8,2.15921796542689,6.82804673550366,46.6222222222222
"GU1","Gustatory areas, layer 1","Control",21.125,6.53681196871118,18.4888962816682,341.839285714286
"GU1","Gustatory areas, layer 1","No Trauma",137.8,69.6535553850468,220.263882145434,48516.1777777778
"GU1","Gustatory areas, layer 1","Trauma",62.2,11.4840952819299,36.315897957292,1318.84444444444
"GU2/3","Gustatory areas, layer 2/3","Control",70.625,21.3206284248043,60.303843753351,3636.55357142857
"GU2/3","Gustatory areas, layer 2/3","No Trauma",351.1,166.28786619728,525.848404432727,276516.544444444
"GU2/3","Gustatory areas, layer 2/3","Trauma",193.2,39.3840915429906,124.543432852426,15511.0666666667
"GU4","Gustatory areas, layer 4","Control",34,10.1997899138028,28.8493624589126,832.285714285714
"GU4","Gustatory areas, layer 4","No Trauma",93.6,35.6237124523665,112.652070060381,12690.4888888889
"GU4","Gustatory areas, layer 4","Trauma",51,8.79267371799449,27.8048756715636,773.111111111111
"GU5","Gustatory areas, layer 5","Control",240.5,57.7998393472804,163.48263341582,26726.5714285714
"GU5","Gustatory areas, layer 5","No Trauma",594.2,181.384478081474,573.588082938348,329003.288888889
"GU5","Gustatory areas, layer 5","Trauma",396.6,54.0713931349614,170.98875856487,29237.1555555556
"GU6a","Gustatory areas, layer 6a","Control",269,56.8346599482092,160.752693823241,25841.4285714286
"GU6a","Gustatory areas, layer 6a","No Trauma",507.6,87.8673495168206,277.860956435249,77206.7111111111
"GU6a","Gustatory areas, layer 6a","Trauma",402.5,48.0419376979923,151.921946333562,23080.2777777778
"GU6b","Gustatory areas, layer 6b","Control",6,1.75254916376933,4.95695759225642,24.5714285714286
"GU6b","Gustatory areas, layer 6b","No Trauma",11.3,2.31924317157319,7.33409086996397,53.7888888888889
"GU6b","Gustatory areas, layer 6b","Trauma",10.7,2.38537208837531,7.54320886625844,56.9
"FC","Fasciola cinerea","Control",41.625,10.0852393908835,28.5253646527337,813.696428571429
"FC","Fasciola cinerea","No Trauma",74.5,13.4711626158332,42.5995565965448,1814.72222222222
"FC","Fasciola cinerea","Trauma",61.5,19.8987715980437,62.9254408892867,3959.61111111111
"IG","Induseum griseum","Control",1.75,0.590096844352082,1.66904592079256,2.78571428571429
"IG","Induseum griseum","No Trauma",6.5,1.72723285440422,5.46198986939131,29.8333333333333
"IG","Induseum griseum","Trauma",4.3,1.1551815634109,3.65300485141266,13.3444444444444
"ILA1","Infralimbic area, layer 1","Control",49.625,7.91458305913836,22.3858214055236,501.125
"ILA1","Infralimbic area, layer 1","No Trauma",133.5,23.5028367082217,74.3224954729948,5523.83333333333
"ILA1","Infralimbic area, layer 1","Trauma",115.4,11.3668132932869,35.9450197446662,1292.04444444444
"ILA2/3","Infralimbic area, layer 2/3","Control",536,63.4192399828317,179.376698598229,32176
"ILA2/3","Infralimbic area, layer 2/3","No Trauma",964.7,88.9714123874755,281.352309786542,79159.1222222222
"ILA2/3","Infralimbic area, layer 2/3","Trauma",964,101.622176057525,321.35753712441,103270.666666667
"ILA5","Infralimbic area, layer 5","Control",360.125,79.2787661852601,224.234212694801,50280.9821428571
"ILA5","Infralimbic area, layer 5","No Trauma",525.2,68.9956198287656,218.183307233976,47603.9555555556
"ILA5","Infralimbic area, layer 5","Trauma",510.3,61.6291868084162,194.888600658598,37981.5666666667
"ILA6a","Infralimbic area, layer 6a","Control",149.25,51.560210988153,145.834299316529,21267.6428571429
"ILA6a","Infralimbic area, layer 6a","No Trauma",175,28.4573755329303,89.9901229148078,8098.22222222222
"ILA6a","Infralimbic area, layer 6a","Trauma",170.4,33.8661417282151,107.094143423231,11469.1555555556
"ILA6b","Infralimbic area, layer 6b","Control",34.375,15.510293241218,43.8697341162284,1924.55357142857
"ILA6b","Infralimbic area, layer 6b","No Trauma",31.2,5.42176682969266,17.145132124179,293.955555555556
"ILA6b","Infralimbic area, layer 6b","Trauma",34,6.60134666396015,20.8752910824682,435.777777777778
"LSc","Lateral septal nucleus, caudal (caudodorsal) part","Control",125.75,34.6259347475683,97.9369330597138,9591.64285714286
"LSc","Lateral septal nucleus, caudal (caudodorsal) part","No Trauma",228.6,43.0813700390835,136.235254044041,18560.0444444444
"LSc","Lateral septal nucleus, caudal (caudodorsal) part","Trauma",179.3,18.834985178297,59.5614528589311,3547.56666666667
"LSr","Lateral septal nucleus, rostral (rostroventral) part","Control",1633.5,231.598251288735,655.058775988842,429102
"LSr","Lateral septal nucleus, rostral (rostroventral) part","No Trauma",2469.8,231.098478287216,730.797555186569,534065.066666667
"LSr","Lateral septal nucleus, rostral (rostroventral) part","Trauma",2568,299.521025045729,947.168646252844,897128.444444444
"LSv","Lateral septal nucleus, ventral part","Control",127.5,33.2710728067835,94.1048047961117,8855.71428571429
"LSv","Lateral septal nucleus, ventral part","No Trauma",138.3,19.0904571856086,60.369326280451,3644.45555555556
"LSv","Lateral septal nucleus, ventral part","Trauma",156.7,22.9540846038347,72.5871889523213,5268.9
"VISl1","Lateral visual area, layer 1","Control",9.25,2.72390213795262,7.70435869213933,59.3571428571429
"VISl1","Lateral visual area, layer 1","No Trauma",41.1,18.6645534518122,59.0225004176844,3483.65555555556
"VISl1","Lateral visual area, layer 1","Trauma",15.1,6.84178339323893,21.6356187801505,468.1
"VISl2/3","Lateral visual area, layer 2/3","Control",101.375,31.251249975001,88.3918831115165,7813.125
"VISl2/3","Lateral visual area, layer 2/3","No Trauma",407.9,152.894113686564,483.493640082266,233766.1
"VISl2/3","Lateral visual area, layer 2/3","Trauma",248.4,60.6078836089461,191.658956366656,36733.1555555556
"VISl4","Lateral visual area, layer 4","Control",11.125,4.62693009919721,13.086934596874,171.267857142857
"VISl4","Lateral visual area, layer 4","No Trauma",61.2,39.0819082895853,123.587845500905,15273.9555555556
"VISl4","Lateral visual area, layer 4","Trauma",28.1,11.0979978174243,35.0949505706384,1231.65555555556
"VISl5","Lateral visual area, layer 5","Control",95,29.5556376058057,83.5959670934293,6988.28571428571
"VISl5","Lateral visual area, layer 5","No Trauma",197.7,86.021709146264,272.024529122733,73997.3444444444
"VISl5","Lateral visual area, layer 5","Trauma",116.7,31.1419866632386,98.4796087184212,9698.23333333333
"VISl6a","Lateral visual area, layer 6a","Control",90.375,17.7008247386547,50.0654928211894,2506.55357142857
"VISl6a","Lateral visual area, layer 6a","No Trauma",103.1,24.0478458263706,76.0459656319051,5782.98888888889
