Animal,Experiment,Date,din,state,time,rewarded
01,25c2,250701,3,1.0,1751387516.3142986,0.0
01,25c2,250701,3,0.0,1751387516.361334,
01,25c2,250701,3,1.0,1751387516.4251623,0.0
01,25c2,250701,3,0.0,1751387516.4879932,
01,25c2,250701,3,1.0,1751387516.54984,0.0
01,25c2,250701,3,0.0,1751387516.597375,
01,25c2,250701,3,1.0,1751387516.660601,0.0
01,25c2,250701,3,0.0,1751387516.7238188,
01,25c2,250701,3,1.0,1751387516.7863338,0.0
01,25c2,250701,3,0.0,1751387516.8332355,
01,25c2,250701,3,1.0,1751387516.896499,0.0
01,25c2,250701,3,0.0,1751387516.9445603,
01,25c2,250701,3,1.0,1751387517.0081787,0.0
01,25c2,250701,3,0.0,1751387517.070122,
01,25c2,250701,3,1.0,1751387517.1318853,0.0
01,25c2,250701,3,0.0,1751387517.1780667,
01,25c2,250701,3,1.0,1751387517.2413263,0.0
01,25c2,250701,3,0.0,1751387517.3051865,
01,25c2,250701,3,1.0,1751387517.3683958,0.0
01,25c2,250701,3,0.0,1751387517.416043,
01,25c2,250701,3,1.0,1751387517.4795158,0.0
01,25c2,250701,3,0.0,1751387517.5273728,
01,25c2,250701,3,1.0,1751387517.619867,0.0
01,25c2,250701,3,0.0,1751387517.6675842,
01,25c2,250701,4,1.0,1751388006.1479173,1.0
01,25c2,250701,4,0.0,1751388006.1648731,
06,25c,250701,START,,1751384541.7568088,
06,25c,250701,3,1.0,1751384579.310038,1.0
06,25c,250701,3,0.0,1751384579.3417346,
06,25c,250701,3,1.0,1751384579.5153828,0.0
06,25c,250701,3,0.0,1751384579.547299,
06,25c,250701,3,1.0,1751384579.6094131,0.0
06,25c,250701,3,0.0,1751384579.656411,
06,25c,250701,3,1.0,1751384579.7192998,0.0
06,25c,250701,3,0.0,1751384579.7671435,
06,25c,250701,3,1.0,1751384579.846183,0.0
06,25c,250701,3,0.0,1751384579.8936174,
06,25c,250701,3,1.0,1751384579.971984,0.0
06,25c,250701,3,0.0,1751384580.019344,
06,25c,250701,3,1.0,1751384580.0991309,0.0
06,25c,250701,3,0.0,1751384580.163035,
06,25c,250701,4,1.0,1751384584.5561073,1.0
06,25c,250701,4,0.0,1751384584.5879855,
06,25c,250701,4,1.0,1751384584.650688,0.0
06,25c,250701,4,0.0,1751384584.681882,
06,25c,250701,4,1.0,1751384584.7296772,0.0
06,25c,250701,4,0.0,1751384584.7762897,
06,25c,250701,4,1.0,1751384584.8390603,0.0
06,25c,250701,4,0.0,1751384584.8870094,
06,25c,250701,4,1.0,1751384584.9657898,0.0
06,25c,250701,4,0.0,1751384585.013032,
06,25c,250701,4,1.0,1751384585.5784333,0.0
06,25c,250701,4,0.0,1751384585.625493,
06,25c,250701,5,1.0,1751384594.0697758,1.0
06,25c,250701,5,0.0,1751384594.1001284,
06,25c,250701,5,1.0,1751384594.163121,0.0
06,25c,250701,5,0.0,1751384594.194157,
06,25c,250701,5,1.0,1751384594.2418537,0.0
06,25c,250701,5,0.0,1751384594.2894623,
06,25c,250701,5,1.0,1751384594.3532915,0.0
