Animal,Experiment,din,state,time,rewarded
08,25c5,3,1.0,1761068744.0348053,0.0
08,25c5,3,0.0,1761068744.0974848,
08,25c5,3,1.0,1761068744.144678,0.0
08,25c5,3,0.0,1761068744.2064946,
08,25c5,3,1.0,1761068744.2537751,0.0
08,25c5,3,0.0,1761068744.3002875,
08,25c5,3,1.0,1761068744.3625555,0.0
08,25c5,3,0.0,1761068744.4100883,
08,25c5,3,1.0,1761068744.4580233,0.0
08,25c5,3,0.0,1761068744.521852,
08,25c5,3,1.0,1761068744.5685935,0.0
08,25c5,3,0.0,1761068744.6151044,
08,25c5,3,1.0,1761068744.6783586,0.0
08,25c5,3,0.0,1761068744.72571,
08,25c5,3,1.0,1761068744.773014,0.0
08,25c5,3,0.0,1761068744.8352149,
08,25c5,3,1.0,1761068744.8811188,0.0
08,25c5,3,0.0,1761068744.9280074,
08,25c5,3,1.0,1761068744.9757526,0.0
08,25c5,3,0.0,1761068745.038063,
08,25c5,3,1.0,1761068745.1010308,0.0
08,25c5,3,0.0,1761068745.148659,
08,25c5,3,1.0,1761068745.953166,0.0
08,25c5,3,0.0,1761068745.969988,
08,25c5,3,1.0,1761068746.016772,0.0
08,25c5,3,0.0,1761068746.0640545,
08,25c5,4,1.0,1761068747.4685748,1.0
08,25c5,4,0.0,1761068747.4856672,
08,25c5,4,1.0,1761068747.546994,0.0
08,25c5,4,0.0,1761068747.579133,
08,25c5,4,1.0,1761068747.627005,0.0
08,25c5,4,0.0,1761068747.65891,
08,25c5,4,1.0,1761068747.737099,0.0
08,25c5,4,0.0,1761068747.7541914,
08,25c5,4,1.0,1761068747.8154747,0.0
08,25c5,4,0.0,1761068747.8473592,
08,25c5,4,1.0,1761068747.9256103,0.0
08,25c5,4,0.0,1761068747.9575534,
08,25c5,4,1.0,1761068748.0204818,0.0
08,25c5,4,0.0,1761068748.0522912,
08,25c5,4,1.0,1761068748.1157956,0.0
08,25c5,4,0.0,1761068748.163308,
08,25c5,4,1.0,1761068748.2272525,0.0
08,25c5,4,0.0,1761068748.290266,
08,25c5,4,1.0,1761068748.3370068,0.0
08,25c5,4,0.0,1761068748.3848789,
08,25c5,4,1.0,1761068748.4464085,0.0
08,25c5,4,0.0,1761068748.494404,
08,25c5,4,1.0,1761068748.5572913,0.0
08,25c5,4,0.0,1761068748.605029,
08,25c5,4,1.0,1761068748.6514747,0.0
08,25c5,4,0.0,1761068748.7142985,
08,25c5,4,1.0,1761068748.762142,0.0
08,25c5,4,0.0,1761068748.8097749,
08,25c5,4,1.0,1761068748.8576453,0.0
08,25c5,4,0.0,1761068748.9211617,
08,25c5,4,1.0,1761068748.983272,0.0
08,25c5,4,0.0,1761068749.031116,
08,25c5,4,1.0,1761068749.0792253,0.0
08,25c5,4,0.0,1761068749.1265,
08,25c5,4,1.0,1761068749.1882102,0.0
08,25c5,4,0.0,1761068749.236087,
08,25c5,4,1.0,1761068749.2999146,0.0
08,25c5,4,0.0,1761068749.3471766,
08,25c5,4,1.0,1761068749.4102762,0.0
08,25c5,4,0.0,1761068749.45745,
08,25c5,4,1.0,1761068749.505298,0.0
08,25c5,4,0.0,1761068749.5531752,
08,25c5,4,1.0,1761068749.6305618,0.0
08,25c5,4,0.0,1761068749.6784017,
08,25c5,4,1.0,1761068749.7720578,0.0
08,25c5,4,0.0,1761068749.7889848,
08,25c5,5,1.0,1761068751.591143,1.0
08,25c5,5,0.0,1761068751.6387875,
08,25c5,5,1.0,1761068751.6867404,0.0
08,25c5,5,0.0,1761068751.71761,
08,25c5,5,1.0,1761068751.781278,0.0
08,25c5,5,0.0,1761068751.8131928,
08,25c5,5,1.0,1761068751.8610654,0.0
08,25c5,5,0.0,1761068751.9090545,
08,25c5,5,1.0,1761068751.9557707,0.0
08,25c5,5,0.0,1761068752.0028844,
08,25c5,5,1.0,1761068752.0667171,0.0
08,25c5,5,0.0,1761068752.1142464,
08,25c5,5,1.0,1761068752.161456,0.0
