Animal,Test,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,1,"(1800, 3600)",0.563575791,0.439200444,1959.429981,146.9092735
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,2,"(3600, 5400)",0.600222099,0.400333148,1320.302152,98.9903349
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,3,"(5400, 7200)",0.362576346,0.640755136,1347.405477,101.0224206
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,4,"(7200, 9000)",0.61521377,0.385341477,1034.929117,77.59434438
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,5,"(9000, 10800)",0.282065519,0.719044975,1105.181722,82.86156965
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,6,"(10800, 12600)",0.251526929,0.748473071,1439.06378,107.8945492
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,7,"(12600, 14400)",0.547222222,0.452777778,1200.84494,90.03396875
7,pre,1,250819_21H2_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",light,FALSE,0,"(0, 1800)",0.427540255,0.573014992,1954.440156,145.6892989
7,pre,1,250819_21H2_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",light,FALSE,1,"(1800, 3600)",0.456413104,0.543586896,1600.319648,119.2921906
7,pre,1,250819_21H2_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",light,FALSE,2,"(3600, 5400)",0.184897279,0.818434203,1320.183777,98.41009885
7,pre,1,250819_21H2_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",light,FALSE,3,"(5400, 7200)",0.385341477,0.615769017,1494.24891,111.3853885
7,pre,1,250819_21H2_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",light,FALSE,4,"(7200, 9000)",0.250416435,0.750138812,1598.618612,119.1653907
7,pre,1,250819_21H2_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",light,FALSE,5,"(9000, 10800)",0.2476402,0.752915047,1167.680303,87.04207399
7,pre,1,250819_21H2_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",light,FALSE,6,"(10800, 12600)",0,1,1122.916412,83.70525147
