Animal,ExcludeLD,Notes,File,test,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
3,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,3,"(7200, 10800)",0,1,1235.983118,92.49769587
3,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,4,"(10800, 14400)",0.036469933,0.963808463,1828.192319,136.8170606
4,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",light,FALSE,1,"(0, 3600)",0.531241322,0.471257984,3739.594371,279.8613167
4,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",light,FALSE,2,"(3600, 7200)",0.325187448,0.675645654,2825.145086,211.4263594
4,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",light,FALSE,3,"(7200, 10800)",0.373229658,0.628714246,2865.412439,214.4398613
4,0,,240318_21G4d_LD_03_04.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",light,FALSE,4,"(10800, 14400)",0.481069042,0.518930958,2798.498107,209.4321703
5,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,1,"(0, 3600)",0.386559289,0.614551513,3232.008641,241.874948
5,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,2,"(3600, 7200)",0.069147459,0.930852541,2046.050164,153.1209635
5,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,3,"(7200, 10800)",0.33046376,0.673146348,2262.737194,169.3372457
5,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,4,"(10800, 14400)",0,1,1734.335841,129.7930909
6,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,1,"(0, 3600)",0,1,1098.096382,82.17861859
6,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,2,"(3600, 7200)",0.033601777,0.966398223,1490.560592,111.5495983
6,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,3,"(7200, 10800)",0,1,716.5170141,53.62223149
6,0,,240318_21G4d_LD_05_06.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,4,"(10800, 14400)",0,1,1046.990621,78.35399906
