Animal,File,phase,subphase,component,freezing,motion
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_6,92,88.09166667
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_6,16.5,474.2583333
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_6,21.5,453.3216667
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_6,91.33333333,57.69666667
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_6,76.5,100.865
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_6,49.5,166.9266667
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_6,51.33333333,392.6583333
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_6,26,377.8966667
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_6,98.83333333,15.5
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_6,27.83333333,326.99
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_6,67.33333333,190.5416667
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_6,64.83333333,156.0216667
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_6,61.83333333,130.2516667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_6,71,136.7566667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_6,66.16666667,122.2633333
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_6,78.16666667,116.2683333
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_7,19.83333333,611.0116667
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_7,41,237.1383333
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_7,68,190.0133333
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_7,80.33333333,71.95166667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_7,61,276.465
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_7,94.5,27.26166667
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_7,29.66666667,477.5366667
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_7,40.83333333,249.925
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_7,61.66666667,233.4583333
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_7,43.33333333,424.0133333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_7,82.83333333,57.77666667
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_7,88.16666667,50.33333333
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_7,28.5,349.25
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_7,13.5,615.5566667
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_7,79,118.9016667
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_7,30,338.5466667
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_7,81.33333333,82.46
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_7,87.66666667,59.965
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_7,17.33333333,573.8116667
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_7,95.83333333,25.745
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_7,34.16666667,354.665
