Animal,test,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
7,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,1,"(0, 3600)",0.179116912,0.822549292,3108.731913,235.6472312
7,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,2,"(3600, 7200)",0.131907803,0.868647598,2479.414951,187.943922
7,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,3,"(7200, 10800)",0.283810053,0.716189947,2952.194392,223.7814176
7,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,4,"(10800, 14400)",0.222777778,0.780555556,2887.80095,218.9002838
8,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,1,"(0, 3600)",0.279366843,0.726742572,4783.676178,365.640616
8,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,2,"(3600, 7200)",0.265481811,0.735628992,3947.084549,301.6956775
8,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,3,"(7200, 10800)",0.241321855,0.762288253,3639.312861,278.1711275
8,pre,240318_21H_LD_07_08.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,4,"(10800, 14400)",0.135,0.865833333,3193.388795,244.086891
9,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,1,"(0, 3600)",0.340183282,0.660649819,3699.874197,280.456834
9,pre,240318_21H_LD_09_10.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,2,"(3600, 7200)",0.019439045,0.980560955,3818.389451,289.4404943
